a1p,a3p,b3p
0.795499643651232,-0.000704372708378856,-3.13751596116568e-05
0.796472460706764,-0.000719506733713849,-4.06395908548758e-05
0.796472460706764,-0.000719506733713849,-4.06395908548758e-05
0.796482789816475,-0.00071993768624381,-4.10288601781897e-05
0.796482789816475,-0.00071993768624381,-4.10288601781897e-05
0.796482923781255,-0.000719919150195154,-4.10210258762431e-05
0.796482923781255,-0.000719919150195154,-4.10210258762431e-05
0.797476913076182,-0.000735931090946342,-5.10408868255379e-05
0.797476913076182,-0.000735931090946342,-5.10408868255379e-05
0.797487331756688,-0.000736425624277741,-5.14891038028501e-05
0.797487331756688,-0.000736425624277741,-5.14891038028501e-05
0.797487434538948,-0.000736464221968798,-5.14562593360095e-05
0.797487434538948,-0.000736464221968798,-5.14562593360095e-05
0.798502560583794,-0.000753459147366909,-6.23465434824909e-05
0.798502560583794,-0.000753459147366909,-6.23465434824909e-05
0.798513369685812,-0.000753952613105191,-6.28426031502411e-05
0.798513369685812,-0.000753952613105191,-6.28426031502411e-05
0.798513208833687,-0.000753957418725297,-6.28042216682353e-05
0.798513208833687,-0.000753957418725297,-6.28042216682353e-05
0.799550023020187,-0.000772019235655644,-7.46967934397208e-05
0.799550023020187,-0.000772019235655644,-7.46967934397208e-05
0.799560756712532,-0.000772572662901336,-7.52390666025229e-05
0.799560756712532,-0.000772572662901336,-7.52390666025229e-05
0.799560870080983,-0.000772556910536766,-7.52247239019377e-05
0.799560870080983,-0.000772556910536766,-7.52247239019377e-05
0.800619228366941,-0.000791796317608939,-8.81476104552023e-05
0.800619228366941,-0.000791796317608939,-8.81476104552023e-05
0.800629962769418,-0.000792477907866676,-8.87358950024841e-05
0.800629962769418,-0.000792477907866676,-8.87358950024841e-05
0.800630019122683,-0.000792552015670714,-8.87206972883837e-05
0.800630019122683,-0.000792552015670714,-8.87206972883837e-05
0.801710255947415,-0.000813008507594689,-0.000102844567391214
0.801710255947415,-0.000813008507594689,-0.000102844567391214
0.801721264033176,-0.000813692613445807,-0.000103498018034084
0.801721264033176,-0.000813692613445807,-0.000103498018034084
0.801721002688354,-0.000813657742770301,-0.000103469196297527
0.801721002688354,-0.000813657742770301,-0.000103469196297527
0.802823192910329,-0.000835604243577249,-0.000118894906648331
0.802823192910329,-0.000835604243577249,-0.000118894906648331
0.802834538002267,-0.00083644565986366,-0.000119645069901962
0.802834538002267,-0.00083644565986366,-0.000119645069901962
0.802834540626327,-0.00083641012918608,-0.000119623576544449
0.802834540626327,-0.00083641012918608,-0.000119623576544449
0.803958933581262,-0.000859925958503336,-0.000136520771030155
0.803958933581262,-0.000859925958503336,-0.000136520771030155
0.803970096245727,-0.0008607863884594,-0.000137340350240092
0.803970096245727,-0.0008607863884594,-0.000137340350240092
0.8039700981713,-0.000860756674920127,-0.00013735637873057
0.8039700981713,-0.000860756674920127,-0.00013735637873057
0.805117024232257,-0.000886042318899354,-0.00015588663417117
0.805117024232257,-0.000886042318899354,-0.00015588663417117
0.805128353291096,-0.000886993862223049,-0.000156754626989753
